"sensor_id","building","address","gfstandard_id","acronym_n","error","created_at","reference_date"
163,140,Jerichower Str. 3,6,e_hw(n)_hm,No values greater than 0.,2025-05-02 18:41:35.797 +0200,2025-03-31 23:59:59.000
166,129,Grünrockweg 8,6,e_hw(n)_hm,Data is empty.,2025-05-02 18:43:36.323 +0200,2025-03-31 23:59:59.000
172,218,Lampesteig 3,5,e_hc(n)_hm,Data is empty.,2025-05-02 18:44:36.377 +0200,2025-03-31 23:59:59.000
13590,745,Borussiastraße 50,133,v_g_gm,Data is empty.,2025-05-03 07:51:56.513 +0200,2025-03-31 23:59:59.000
13867,546,Ennenstr. 2a,400,eel_hp(n)_em_supply_act,No complete data. ,2025-05-03 08:00:15.305 +0200,2025-03-31 23:59:59.000
202,142,Neumarkplan 10A,,,No values greater than 0.,2025-05-02 18:56:08.386 +0200,2025-03-31 23:59:59.000
212,148,Erich-Kurz-Str. 13,6,e_hw(n)_hm,No values greater than 0.,2025-05-02 18:58:16.007 +0200,2025-03-31 23:59:59.000
216,148,Erich-Kurz-Str. 13,5,e_hc(n)_hm,No values after removing drops.,2025-05-02 18:59:16.659 +0200,2025-03-31 23:59:59.000
225,115,Klemkestr. 20,133,v_g_gm,Data is empty.,2025-05-02 19:04:24.743 +0200,2025-03-31 23:59:59.000
230,254,Buckower Ring 79,5,e_hc(n)_hm,Data is empty.,2025-05-02 19:06:26.832 +0200,2025-03-31 23:59:59.000
239,120,Büchsenweg 9,5,e_hc(n)_hm,Data is empty.,2025-05-02 19:08:29.498 +0200,2025-03-31 23:59:59.000
242,127,Breitkopfstr. 136,6,e_hw(n)_hm,Data is empty.,2025-05-02 19:10:30.878 +0200,2025-03-31 23:59:59.000
249,267,Residenzstr. 149,133,v_g_gm,Data is empty.,2025-05-02 19:13:32.430 +0200,2025-03-31 23:59:59.000
258,147,Pistoriusplatz 15,4,e_g_hm,No values after removing drops.,2025-05-02 19:15:37.118 +0200,2025-03-31 23:59:59.000
262,141,Aalesunder Str. 9,6,e_hw(n)_hm,No values greater than 0.,2025-05-02 19:16:40.884 +0200,2025-03-31 23:59:59.000
15673,536,Cecinastraße 32,400,eel_hp(n)_em_supply_act,Data is empty.,2025-05-03 08:33:53.648 +0200,2025-03-31 23:59:59.000
282,206,Murtzaner Ring 34,5,e_hc(n)_hm,Data is empty.,2025-05-02 19:21:48.459 +0200,2025-03-31 23:59:59.000
295,161,Neumarkplan 7B,6,e_hw(n)_hm,No values greater than 0.,2025-05-02 19:26:57.363 +0200,2025-03-31 23:59:59.000
318,147,Pistoriusplatz 15,6,e_hw(n)_hm,No values greater than 0.,2025-05-02 19:34:08.011 +0200,2025-03-31 23:59:59.000
